,date,cases,deaths,new_cases,new_deaths,sentiment,polarity,subjectivity,vader,vader_pos,vader_neg,vader_neut,covid: (United States),online therapy: (United States),symptoms: (United States),vaccine: (United States),position_y,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
99,2020-04-29,1045399.0,60930.0,26555.0,2514.0,0.11148839841539332,0.04126093656152865,0.5217960703714695,0.15419748160724392,0.041763737693056885,0.014294440978973815,-0.04543972965768983,58,87.0,19.0,57.0,98.89035232136978,73.87816924596642,205725.11244649324,0.30227197892657226,-0.011223161455882728,0.6199188837668752,5.677313137965097,-6.32471205136648,0.5633849193282845,0.11120294698715838,0.2831063683075403,0.01166089975469213,0.1671092854790912,0.5200555976292394,121.15905087257161,3.9881461969048404
100,2020-04-30,1075756.0,63140.0,30357.0,2210.0,0.10818546078992558,0.04080440658705952,0.5221718635364622,0.150232770463652,0.03987994198276692,0.0203550137017138,-0.047898214037647095,58,79.0,18.0,53.0,99.18839153959665,73.6863420232825,205973.48827676667,0.30086899491719954,-0.0022657811208301004,0.6236081816691261,5.683226758484998,-6.298976881455976,0.5604197409411379,0.11150191834727005,0.2791898314641744,0.011564857506148548,0.16854195769798327,0.5245165600918184,121.12329529431054,3.988522708640761
101,2020-05-01,1109726.0,64902.0,33970.0,1762.0,0.13716690042075735,0.04021461022548767,0.5181463604402735,0.18601562412342218,0.03182076569341959,-0.005560621780790973,-0.02376018332834227,56,60.0,17.0,47.0,100.29579375848033,73.62873134328358,206115.6631614654,0.29511533242876525,0.014855395996766798,0.6252244402985074,5.694708276797829,-6.287130766621439,0.5668249660786974,0.11144464043419267,0.27555596770692,0.011297415040705562,0.16938080054274085,0.5300378731343284,120.98436346675713,3.987618724559023
102,2020-05-02,1139200.0,66485.0,29474.0,1583.0,0.13857466063348417,0.04235576429051481,0.5180529102286533,0.18752443438914027,0.026621469428962135,-0.022416392535566536,-0.007998100541937973,53,67.0,17.0,42.0,99.89801368719746,73.60974795526623,206713.63745618428,0.28693039559339006,0.0021966464429794027,0.6257351527290936,5.683191453847438,-6.294919545985644,0.5728592889334001,0.10979719579369053,0.27575958647971954,0.011300117429477551,0.16918304122850944,0.5319920547487899,120.9355738607912,3.9874812218327493
103,2020-05-03,1165340.0,67816.0,26140.0,1331.0,0.1227285434721834,0.04214477603451073,0.5210187172737923,0.1705554934302488,0.029122117268960683,-0.00815804539535581,-0.019660599121484323,53,76.0,17.0,44.0,99.7715281234445,73.84586029533764,206299.54305624688,0.2920192467230795,-0.009607505242444189,0.6217332503733201,5.686577069852331,-6.3163663514186155,0.5705989712958354,0.10963855981416958,0.2825873037332006,0.01095811299485648,0.16914549527127923,0.5271898954703833,120.87557574249212,3.988053758088601
104,2020-05-04,1187302.0,68905.0,21962.0,1089.0,0.10829493087557604,0.04107064881250529,0.5205763509010971,0.15427727534562213,0.02521564408683745,0.013111627692304482,-0.030520287457712045,59,87.0,18.0,43.0,99.29531116794544,73.89735720375107,205502.7558397272,0.30741687979539645,0.007582107940343443,0.6207538448422848,5.692071611253197,-6.304606820119352,0.5638533674339301,0.11193127024722932,0.28249470913895997,0.011283906480818414,0.16691713554987214,0.5249380733162831,120.7617967604433,3.9884057971014495
105,2020-05-05,1211011.0,71139.0,23709.0,2234.0,0.11373209772535804,0.041940721830642576,0.5213172277037705,0.1603836843583263,0.03420672075764345,0.007470561119656041,-0.03442676826067581,55,78.0,17.0,47.0,99.20926385442515,73.87146401985112,205405.60959470636,0.3073614557485525,0.011363938129837598,0.6220498428453267,5.692142266335814,-6.304339619520265,0.5632754342431762,0.11225186104218363,0.2824400178825476,0.012055476382133995,0.16762699751861043,0.526186517783292,120.82198097601324,3.990074441687345
106,2020-05-06,1235517.0,73847.0,24506.0,2708.0,0.11807909604519774,0.04263993613984832,0.5209115293041624,0.1632211581920904,0.023365207141841603,-0.004838925303589859,-0.01686084014841131,55,65.0,17.0,57.0,99.15430169435763,73.83023523605856,205355.8160881724,0.3036683665076493,0.01433594587249786,0.6243359598618193,5.681362066129298,-6.278900312551406,0.5640730383286725,0.11224902122059549,0.27936081923013656,0.011559311330810989,0.1669840269781214,0.5282354828096727,120.87888846849812,3.9902944563250533
107,2020-05-07,1263995.0,75805.0,28478.0,1958.0,0.1215485340165101,0.04223830548154882,0.5211192845203917,0.166099658411614,0.024702918013083153,-0.005166522154813858,-0.017787496367423005,56,83.0,17.0,56.0,99.11462450592886,73.8048418972332,205503.3097826087,0.30500658761528326,0.019687950269469533,0.6247288043478261,5.6773715415019765,-6.283710309617918,0.5634057971014492,0.11230976613965744,0.27936444188076415,0.01153040306982872,0.16778114295125166,0.5297614130434782,120.89117967720685,3.9906126482213438
108,2020-05-08,1291643.0,77380.0,27648.0,1575.0,0.0935672514619883,0.03667454008053097,0.5221633550716781,0.13978874269005848,0.01068439875831109,0.026585142048204904,-0.02698973787456619,51,70.0,16.0,46.0,98.92541856925419,73.57094537459834,205750.73025536953,0.29561982073397597,0.015552071126199048,0.6259070184339591,5.67461525452393,-6.296495856587181,0.5668865212244207,0.11233005242685608,0.2768290533739219,0.012449708714696433,0.17052942668696094,0.5343382208692711,121.69154490106544,3.9852866565195333
